id,title,url,is_paid,price,duration,level,subject,source
145,Learn how to double your Forex Trading Account in one trade,https://www.udemy.com/learn-how-to-double-your-forex-trading-account-in-one-trade/,TRUE,60,2.5,Intermediate,Business Finance,Udemy
146,"Accounting Superpowers: Learn Accounts, Understand Business!",https://www.udemy.com/accounting-basics-for-success-in-business-and-in-life/,TRUE,200,2.5,Beginner,Business Finance,Udemy
147,Python Algo Trading: FX Trading with Oanda,https://www.udemy.com/python-algo-trading-fx-trading-with-oanda/,TRUE,200,3,Intermediate,Business Finance,Udemy
148,Save on Your Taxes,https://www.udemy.com/save-on-your-taxes/,TRUE,20,1.5,All Levels,Business Finance,Udemy
149,Financial Model Basics: Build a model from start to finish,https://www.udemy.com/financial-model-basics-build-a-model-from-start-to-finish/,TRUE,30,1,Beginner,Business Finance,Udemy
150,Option Trading for Rookies: The Covered Call Option Strategy,https://www.udemy.com/option-trading-for-rookies-investing-the-profitable-way/,TRUE,95,1.5,Beginner,Business Finance,Udemy
151,EFT for Stock Options Trading Success & Making Better Trades,https://www.udemy.com/eft-for-stock-option-trading-success/,TRUE,95,1.5,All Levels,Business Finance,Udemy
152,Learn to Trade the Stock Market without Blowing Your Profits,https://www.udemy.com/learn-to-trade-the-stock-market-without-blowing-your-profits/,TRUE,60,1,All Levels,Business Finance,Udemy
153,Get a Credit Repair Publication On Amazon and Live LIFE..,https://www.udemy.com/get-a-credit-repair-publication-on-amazon-and-live-life/,TRUE,20,3,Beginner,Business Finance,Udemy
154,Fundamentals of Accounting,https://www.udemy.com/fundamentals-of-accounting/,TRUE,20,3,All Levels,Business Finance,Udemy
155,"RSI, Options Trading & Technical Analysis (3 Course Bundle)",https://www.udemy.com/charting-rsi-options-stock-trading-for-beginners-newtechnical-analysis/,TRUE,200,3.5,All Levels,Business Finance,Udemy
156,Basics of Mutual Funds for CA / CMA / CS / CFA Exams,https://www.udemy.com/basics-of-mutual-funds-for-ca-cma-cs-cfa-exams/,TRUE,125,1,Intermediate,Business Finance,Udemy
157,Accounting 101: How to read an Accounting Balance Sheet,https://www.udemy.com/financial-statements-101-how-to-read-a-balance-sheet/,TRUE,200,2,Beginner,Business Finance,Udemy
158,Stock Options Day Trading Mindset for Success,https://www.udemy.com/stock-options-day-trading-success-mindset/,TRUE,200,4.5,All Levels,Business Finance,Udemy
159,Introduction to bookkeeping and Accounting,https://www.udemy.com/introduction-to-bookkeeping-and-accounting/,TRUE,35,1,Beginner,Business Finance,Udemy
160,Learn to Trade The News,https://www.udemy.com/learn-to-trade-the-news/,TRUE,200,46.5,All Levels,Business Finance,Udemy
161,"Value Investing, Taught by Six Superinvestors",https://www.udemy.com/investing-stars/,TRUE,200,5,All Levels,Business Finance,Udemy
162,Trading for everyone - The Independent Investor Course I,https://www.udemy.com/trading-for-everyone-the-independent-investor-course/,TRUE,120,4,Beginner,Business Finance,Udemy
163,Get Acquired: Learn From The Head Of Acquisitions For eBay,https://www.udemy.com/entrepreneurship-buy-and-sell-your-startup-or-business/,TRUE,195,2.5,All Levels,Business Finance,Udemy
164,Stock Market investment: Practical Accounting,https://www.udemy.com/stock-market-investment-practical-accounting/,TRUE,125,3,Beginner,Business Finance,Udemy
165,"How to remove 'Risk from Penny Stocks - Options Trading""",https://www.udemy.com/best-penny-stock-options-to-buy-hot-stocks-put-call-stock-options/,TRUE,200,1,All Levels,Business Finance,Udemy
166,Accounting Basics in 66 Minutes (absolutely for beginners),https://www.udemy.com/accounting-through-visual-presentation/,TRUE,25,1.5,All Levels,Business Finance,Udemy
